day_number,Ob,Yenisey,Lena,Kolyma,Yukon,Mackenzie
299,9.767352941,6.367461538,,3.4946,7.24424,4.346470588
300,9.59575,6.249846154,,,6.936230769,4.3735
301,9.6129375,6.124090909,,,6.8105,4.428916667
302,9.562923077,5.9105,,,6.571916667,4.400111111
303,9.56825,5.45525,,,6.112208333,4.380833333
304,9.541555556,5.94775,,,5.942461538,4.2065
305,9.706125,4.5565,,,5.78924,4.259
306,9.62925,,,,5.695791667,
307,9.500333333,,,,5.501043478,
308,,,,,5.250695652,
309,,,,,5.089521739,
310,,,,,5.075173913,
311,,,,,5.049565217,
312,,,,,4.962318182,
313,,,,,5.1247,
314,,,,,5.1722,
315,,,,,4.901444444,
316,,,,,5.127666667,
317,,,,,4.463833333,
318,,,,,4.659444444,
319,,,,,4.799571429,
320,,,,,4.595333333,
321,,,,,,
322,,,,,,
323,,,,,,
324,,,,,,
325,,,,,,
326,,,,,,
327,,,,,,
328,,,,,,
329,,,,,,
330,,,,,,
331,,,,,,
332,,,,,,
333,,,,,,
334,,,,,,
335,,,,,,
336,,,,,,
337,,,,,,
338,,,,,,
339,,,,,,
340,,,,,,
341,,,,,,
342,,,,,,
343,,,,,,
344,,,,,,
345,,,,,,
346,,,,,,
347,,,,,,
348,,,,,,
349,,,,,,
350,,,,,,
351,,,,,,
352,,,,,,
353,,,,,,
354,,,,,,
355,,,,,,
356,,,,,,
357,,,,,,
358,,,,,,
359,,,,,,
360,,,,,,
361,,,,,,
362,,,,,,
363,,,,,,
364,,,,,,
365,,,,,,
366,,,,,,
