day_number,Ob,Yenisey,Lena,Kolyma,Yukon,Mackenzie
292,0.902736,1.4591232,1.407079296,0.1919808,0.6862608,0.812023754
293,0.897984,1.4373504,1.319511168,0.1802304,0.6703632,0.805713231
294,0.899064,1.4190336,1.22340672,0.170767872,0.655272,0.799196677
295,0.89442,1.366848,1.119273984,0.162342144,0.6416136,0.790264246
296,0.890172,1.34566272,1.053703296,0.157434624,0.6255144,0.781448123
297,0.8835444,1.31563008,0.985036032,0.1442016,0.612558,0.773894769
298,0.8730252,1.28756736,0.917747712,0.1374336,0.5983956,0.761516308
299,0.8655876,1.25155584,0.870607872,0.1305144,0.5834124,0.749380431
300,0.8546508,1.21906944,0.824539392,0.119746643,0.570366,0.739956185
301,0.84798,1.19083392,0.7755264,0.114645287,0.5578236,0.726763569
302,0.8402724,1.1664,0.73082304,0.111594991,0.5484276,0.711274708
303,0.8238312,1.15077888,0.680303232,0.108999235,0.5400864,0.696749538
304,0.8071272,1.12548096,0.62876736,0.104326122,0.5274396,0.682912246
305,0.8019756,1.04609664,0.59173632,0.102380243,0.5142924,0.667436677
306,0.7963776,1.03241088,0.580265856,0.099269843,0.501858,0.651097108
307,0.7887924,1.0207296,0.56346624,0.097586922,0.4887036,0.635438769
308,0.7832556,1.01495808,0.544523904,0.094176,0.4781052,0.620754092
309,0.773784,1.00631808,0.524226816,0.090870261,0.4679136,0.606863631
310,0.762678,1.00424448,0.508246272,0.088590052,0.4577148,0.593003077
311,0.7529076,0.97276032,0.489220992,0.086039374,0.4449708,0.579424985
312,0.7431912,0.97673472,0.474719616,0.084209948,0.4347828,0.559765662
313,0.7295976,0.98222976,0.461749248,0.083740383,0.4248936,0.542645169
314,0.7186752,0.98717184,0.448540416,0.081249809,0.4155048,0.528625108
315,0.7028028,0.99512064,0.437975424,0.079566887,0.4055256,0.517539323
316,0.689832,1.00217088,0.429487488,0.078774261,0.3971556,0.507506954
317,0.671346,1.01184768,0.420937344,0.0775872,0.3891024,0.484942464
318,0.6562584,1.02104064,0.41254272,0.075074087,0.3816648,0.487704738
319,0.6440292,1.02359808,0.404953344,0.074104904,0.37422,0.45911232
320,0.6341076,1.0240128,0.396741888,0.072730017,0.3670956,0.446753664
321,0.625086,1.02097152,0.388917504,0.070036591,0.360468,0.448678523
322,0.6151212,1.01253888,0.381604608,0.0706752,0.3533256,0.438057969
323,0.6076188,1.0055232,0.374239872,0.069318,0.3466008,0.428032246
324,0.6028812,0.99484416,0.367082496,0.0683604,0.3406824,0.418405292
325,0.6004872,0.96660864,0.360681984,0.0685188,0.333756,0.4089312
326,0.5912388,0.95755392,0.355128192,0.067827456,0.3284532,0.399925662
327,0.5825556,0.94155264,0.3495744,0.0686016,0.323658,0.390880246
328,0.5716116,0.93716352,0.34513344,0.069516,0.3192804,0.384460062
329,0.5622228,0.92886912,0.340357248,0.0675432,0.3146868,0.378584862
330,0.555876,0.9165312,0.33611328,0.066546,0.3093876,0.372207877
331,0.5514372,0.9066816,0.33512832,0.0665712,0.3044988,0.365684677
332,0.5477472,0.89638272,0.333580032,0.0647928,0.298476,0.357918646
333,0.5458032,0.88998912,0.332771328,0.064062,0.2927772,0.338580864
334,0.541206,0.88376832,0.332660736,0.062658,0.2864988,0.328634496
335,0.5381352,0.87671808,0.3347136,0.0615816,0.2808504,0.330705969
336,0.5354892,0.87115392,0.338034816,0.0612288,0.2755908,0.321893169
337,0.5330088,0.8676288,0.341207424,0.0604692,0.2702412,0.313442585
338,0.5298264,0.86130432,0.34468416,0.0593064,0.2666772,0.305762954
339,0.5275404,0.85947264,0.348181632,0.0593496,0.2619936,0.299492308
340,0.5261508,0.8541504,0.351036288,0.0591156,0.25893,0.295042708
341,0.526212,0.8491392,0.354478464,0.0577224,0.255816,0.2924208
342,0.5263056,0.84457728,0.358224768,0.0569952,0.2528316,0.283785984
343,0.5258592,0.8420544,0.361753344,0.0562896,0.2504952,0.285178752
344,0.5253984,0.83953152,0.365326848,0.054864,0.2477412,0.290566656
345,0.5258448,0.834624,0.367396992,0.0541584,0.2451852,0.295985664
346,0.5264568,0.83113344,0.368654976,0.0521208,0.2419632,0.302465664
347,0.5277852,0.8289216,0.370106496,0.0519588,0.2399112,0.309339648
348,0.5284584,0.8265024,0.371627136,0.0512424,0.2372868,0.31594752
349,0.5293404,0.82439424,0.372605184,0.0511884,0.2352744,0.32189184
350,0.5298912,0.82418688,0.374298624,0.0501696,0.2325924,0.326947968
351,0.5308668,0.82325376,0.375681024,0.0506088,0.230598,0.333023616
352,0.5318064,0.82290816,0.377339904,0.0501912,0.2283912,0.338459904
353,0.532854,0.82145664,0.378822528,0.050346,0.2263104,0.342952704
354,0.533754,0.8204544,0.380135808,0.04957632,0.224424,0.3476736
355,0.533574,0.81806976,0.3723228,0.04980096,0.2222532,0.35201088
356,0.5332392,0.81831168,0.3721068,0.049220352,0.2205072,0.356213376
357,0.5331492,0.81869184,0.3720312,0.049548672,0.21825,0.360930816
358,0.5331384,0.8180352,0.3726072,0.050201856,0.2160072,0.365803776
359,0.5329332,0.81689472,0.373014,0.049500288,0.2143116,0.37086336
360,0.532548,0.81710208,0.3735936,0.0490752,0.2124828,0.375446016
361,0.5320008,0.81627264,0.373518,0.048480768,0.2107584,0.379085184
362,0.5310468,0.815616,0.3734748,0.047772288,0.2093652,0.382454784
363,0.530226,0.81478656,0.3733416,0.0458244,0.2075688,0.385423488
364,0.52875,0.81430272,0.3730824,0.0458604,0.206136,0.38838528
365,0.527076,0.81330048,0.3736152,0.0454464,0.2048508,0.390894336
366,0.5250924,0.81347328,0.374094,0.0475092,0.2033676,0.392916096
